Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime
Ganga Jamuna,1-Jan-61,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.50 Cr
Gharana,1-Jan-61,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Ek Musafir Ek Hasina,1-Jan-62,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Bees Saal Baad,1-Jan-62,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Mere Mehboob,1-Jan-63,0 Cr N.A,0 Cr N.A,0 Cr N.A,3 Cr
Gumrah,1-Jan-63,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Taj Mahal,1-Jan-63,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
Sangam,18-Jun-64,0 Cr N.A,0 Cr N.A,0 Cr N.A,4 Cr
Rajkumar,3-Jan-64,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Ayee Milan Ki Bela,1-Jan-64,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Phir Wohi Dil Laya Hoon,1-Jan-64,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Dosti,1-Jan-64,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Kashmir Ki Kali,1-Jan-64,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.30 Cr
Ziddi,1-Jan-64,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
Guide,9-Feb-65,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
Waqt,1-Jan-65,0 Cr N.A,0 Cr N.A,0 Cr N.A,3 Cr
Himalay Ki God Mein,1-Jan-65,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Jab Jab Phool Khile,1-Jan-65,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.75 Cr
Arzoo,1-Jan-65,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Jaanwar,1-Jan-65,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Khandan,30-Nov-64,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.40 Cr
Mera Saaya,1-Jan-66,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Do Badan,1-Jan-66,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Love In Tokyo,1-Jan-66,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
Phool Aur Patthar,1-Jan-66,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.75 Cr
Suraj,1-Jan-66,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.50 Cr
Teesri Manzil,1-Jan-66,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.90 Cr
Upkar,1-Jan-67,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.50 Cr
Jewel Thief,1-Jan-67,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
An Evening In Paris,1-Jan-67,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Shagird,1-Jan-67,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Farz,1-Jan-67,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.50 Cr
Hamraaz,1-Jan-67,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Milan,1-Jan-67,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.60 Cr
Ram Aur Shyam,1-Jan-67,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.75 Cr
Do Kaliyan,1-Jan-68,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Aankhen,1-Jan-68,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.25 Cr
Kanyadaan,1-Jan-68,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.60 Cr
Neel Kamal,1-Jan-68,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.80 Cr
Jeene Ki Raah,1-Jan-69,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.60 Cr
Do Raaste,1-Jan-69,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.25 Cr
Ek Phool Do Mali,1-Jan-69,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.50 Cr
Prince,1-Jan-69,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Aradhana,1-Jan-69,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.50 Cr
Intaquam,1-Jan-69,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.80 Cr
Jeevan Mrityu,21-Apr-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
The Train,10-Apr-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.05 Cr
Khilona,8-Apr-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
Safar,1-Jan-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Pehchan,1-Jan-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.20 Cr
Geet,1-Jan-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.95 Cr
Humjoli,1-Jan-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.55 Cr
Bhai Bhai,1-Jan-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.10 Cr
Johny Mera Naam,1-Jan-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,4 Cr
Tum Haseen Main Jawan,1-Jan-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.45 Cr
Sharafat,1-Jan-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.60 Cr
Kab Kyon Aur Kahan,1-Jan-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Gopi,1-Jan-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.40 Cr
Kaun Ho Tum,1-Jan-70,0 Cr N.A,0 Cr N.A,0.005 Cr,0.005 Cr
Ganwaar,1-Jan-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.15 Cr
Sawan Bhadon,1-Jan-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,1 Cr
Sachaa Jhutha,1-Jan-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.75 Cr
Bharat Ka Sanvidhan,1-Jan-70,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Andaz,1-Aug-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Maryada,16-Jul-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Mera Gaon Mera Desh,14-Jun-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,3 Cr
Rakhwala,1-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.95 Cr
Purab Aur Pashcim,1-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Naya Zamana,1-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.05 Cr
Mela,1-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.20 Cr
Guddi,1-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.78 Cr
Anand,1-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.98 Cr
Sharmilee,1-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.30 Cr
Aan Milo Sajna,1-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.50 Cr
Haathi Mere Saathi,1-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.50 Cr
Kal Aaj Aur Kal,1-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.10 Cr
Kati Patang,1-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.90 Cr
Main Sundar Hoon,1-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.82 Cr
Ek Nari Ek Brahmachari,1-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.75 Cr
Mehboob Ki Mehndi,1-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.90 Cr
Mere Apne,1-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.85 Cr
Caravan,1-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.80 Cr
Paras,1-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.80 Cr
Victoria No. 203,8-Dec-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Raja Jani,3-Nov-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.5 Cr
Do Chor,24-Mar-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.82 Cr
Bombay To Goa,3-Mar-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,1 Cr
Pakeezah,4-Feb-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,3 Cr
Balidaan,1-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,1 Cr
Shararat,1-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.05 Cr
Samadhi,1-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.6 Cr
Shor,1-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.88 Cr
Mere Jeevan Saathi,1-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.85 Cr
Dushmun,1-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.75 Cr
Dastaan,1-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.92 Cr
Jawani Diwani,1-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
Apna Desh,1-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.1 Cr
Beimaan,1-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Amar Prem,1-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Apradh,1-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.1 Cr
Rampur Ka Laxman,1-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.5 Cr
Seeta Aur Geeta,1-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.25 Cr
Shehzada,1-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.95 Cr
Hare Rama Hare Krishna,1-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.70 Cr
Gora Aur Kala,1-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.2 Cr
Bhai Ho To Aisa,1-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Anuraag,1-Jan-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.9 Cr
Namak Haraam,23-Nov-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,1 Cr
Aa Gale Lag Jaa,16-Nov-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.5 Cr
Yaadon Ki Baaraat,3-Nov-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.75 Cr
Saudagar,26-Oct-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,0 Cr
Joshila,19-Oct-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.88 Cr
Bobby,29-Sep-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,5.5 Cr
Anhonee,26-Sep-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.95 Cr
Jugnu,30-Aug-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.5 Cr
Abhimaan,27-Jul-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.85 Cr
Zanjeer,11-May-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,3 Cr
Dharma,1-Jan-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Pinjra,1-Jan-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.9 Cr
Daag,1-Jan-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.25 Cr
Jheel Ke Us Paar,1-Jan-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.2 Cr
Black Mail,1-Jan-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.98 Cr
Heera,1-Jan-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
Kuchhe Dhaage,1-Jan-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.92 Cr
Kahani Kismat Ki,1-Jan-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.5 Cr
Keemat,1-Jan-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.1 Cr
Loafer,1-Jan-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Jaise Ko Taisa,1-Jan-73,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Majboor,6-Dec-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.3 Cr
Roti,18-Oct-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Roti Kapada Aur Makaan,18-Oct-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,5.25 Cr
Benaam,18-Oct-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.85 Cr
Haath Ki Safai,30-Aug-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.5 Cr
Kasauti,9-Aug-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,1 Cr
Amir Garib,2-Aug-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.1 Cr
Sagina,26-Jul-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.9 Cr
Prem Nagar,24-May-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Aap Ki Kasam,3-May-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.6 Cr
Dost,12-Apr-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.5 Cr
Chor Machaye Shor,22-Mar-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,3 Cr
Pocket Maar,1-Jan-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.95 Cr
Patthar Aur Payal,1-Jan-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
Bidaai,1-Jan-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.2 Cr
Manchali,1-Jan-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.92 Cr
Pran Jaye Par Vachan Na Jaye,1-Jan-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.4 Cr
Resham Ki Dori,1-Jan-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.1 Cr
Geeta Mera Naam,1-Jan-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.2 Cr
Ajnabee,1-Jan-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Dharam Karam,1-Dec-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Warrant,6-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Sanyasi,16-Oct-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,4.50 Cr
Rafoo Chakkar,1-Oct-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.50 Cr
Kala Sona,18-Sep-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.5 Cr
Sholay,15-Aug-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,15 Cr
Pratiggya,26-Jun-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.50 Cr
Umar Qaid,13-Jun-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.05 Cr
Jai Santoshi Maa,30-May-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,5 Cr
Chori Mera Kaam,2-May-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Julie,18-Apr-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.4 Cr
Zameer,21-Mar-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.1 Cr
Deewaar,24-Jan-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,4.25 Cr
Prem Kahani,1-Jan-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.95 Cr
Do Thug,1-Jan-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.15 Cr
Chupke Chupke,1-Jan-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,1 Cr
Khel Khel Mein,30-Nov-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.70 Cr
Dharmatma,30-Nov-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
Zakhmee,30-Nov-74,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.60 Cr
Bairaag,4-Oct-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.05 Cr
Hera Pheri,3-Oct-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,3 Cr
Fakira,6-Sep-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.50 Cr
Charas,28-May-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.75 Cr
Dus Numbri,12-Mar-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,4.50 Cr
Kalicharan,7-Feb-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Kabhi Kabhie,27-Jan-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Chhoti Si Baat,1-Jan-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.98 Cr
Jaaneman,30-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.92 Cr
Shankar Dada,30-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.15 Cr
Maha Chor,30-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.98 Cr
Chitchor,30-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.95 Cr
Aap Beeti,30-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.30 Cr
Barood,30-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,1 Cr
Sangram,30-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.20 Cr
Do Anjane,30-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Laila Majnu,30-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,4.25 Cr
Maa,30-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
Mehbooba,30-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.10 Cr
Nagin,30-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.50 Cr
Nehle Pe Dehla,30-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.02 Cr
Parvarish,11-Nov-77,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.75 Cr
Hum Kisise Kum Naheen,25-Aug-77,0 Cr N.A,0 Cr N.A,0 Cr N.A,4.25 Cr
Amar Akbar Anthony,7-May-77,0 Cr N.A,0 Cr N.A,0 Cr N.A,7.25 Cr
Chandi Sona,25-Mar-77,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.05 Cr
Khoon Pasina,21-Jan-77,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.50 Cr
Jadu Tona,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.10 Cr
Inkaar,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.90 Cr
Chhailla Babu,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.35 Cr
Adalat,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Immaan Dharam,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.30 Cr
Apnapan,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Chacha Bhatija,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.50 Cr
Khel Khilari Ka,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Dulhan Wohi Jo Piya Man Bhaye,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
Dream Girl,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.45 Cr
Dildaar,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.40 Cr
Chakkar Pe Chakkar,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.15 Cr
Aashiq Hoon Baharon Ka,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,1 Cr
Dharam Veer,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,6.75 Cr
Maha Badmaash,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.20 Cr
Daku Aur Jawan,29-Dec-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.90 Cr
Swarg Narak,21-Dec-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.50 Cr
Karmayogi,15-Dec-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.70 Cr
Muqaddar Ka Sikandar,27-Oct-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,8.50 Cr
Dil Aur Deewar,15-Sep-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.60 Cr
Azaad,1-Sep-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,3 Cr
Shalimar,12-Aug-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.40 Cr
Satyam Shivam Sundaram,6-Aug-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Main Tulsi Tere Aangan Ki,4-Aug-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.75 Cr
Muqaddar,14-Jul-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.46 Cr
Des Pardes,29-Jun-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.55 Cr
Don,12-Jun-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.50 Cr
Trishul,4-May-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,5.50 Cr
Kasme Vaade,20-Apr-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.40 Cr
Ganga Ki Saugandh,10-Feb-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.30 Cr
Vishwanath,20-Jan-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Khoon Ki Pukar,1-Jan-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Be-Sharam,1-Jan-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.35 Cr
Phandebaaz,30-Nov-77,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.10 Cr
Pati Patni Aur Woh,30-Nov-77,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.80 Cr
Ahinsa,28-Dec-79,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.30 Cr
Hum Tere Ashiq Hain,30-Nov-79,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Suhaag,16-Nov-79,0 Cr N.A,0 Cr N.A,0 Cr N.A,5 Cr
Dil Ka Heera,19-Oct-79,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.60 Cr
Lahu Ke Do Rang,28-Sep-79,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.55 Cr
Nalayak,14-Sep-79,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.20 Cr
Kaala Patthar,24-Aug-79,0 Cr N.A,0 Cr N.A,0 Cr N.A,3 Cr
Duniya Meri Jeb Mein,10-Aug-79,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Sargam,1-Aug-79,0 Cr N.A,0 Cr N.A,0 Cr N.A,4 Cr
Khandaan,18-Jul-79,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.70 Cr
